"발생일시","관할해경서","발생해역","발생유형","발생원인","기상특보","사고선박수","구조인원","부상인원","사망인원","실종인원","사고위치","위도","경도","선종1","톤수1","선종2","톤수2","선종3","톤수3"
"2011-11-17 16:55","울산","영해","침수","운항부주의","양호","1","2","0","0","0","울산 울주군 진하리 명선교 앞 해상","35|23|23","129|20|48","어선","1.61",,,,
"2011-11-17 15:38","통영","항계내","좌초","운항부주의","양호","1","2","0","0","0","통영시 해간도 연륙교 인근 해상","34|52|19","128|28|02","어선","2.66",,,,
"2011-11-17 13:30","속초","영해-EEZ","기관고장","기타","양호","1","11","0","0","0","저진동방 56마일","38|32|70","129|36|40","어선","79",,,,
"2011-11-17 13:10","서귀포","영해","기관고장","정비불량","황천5급","1","1","0","0","0","화순항 동방파제 남동 1마일","33|13|20","126|20|40","어선","3.3",,,,
"2011-11-17 13:06","목포","영해","기관고장","관리소홀","양호","1","3","0","0","0","전남 영광군 홍농읍 계마항 넓은여 근해","35|21|59","126|23|00","어선","1.2",,,,
"2011-11-17 10:40","인천","영해","기관고장","정비불량","황천5급","1","5","0","0","0","소청도 남방 3마일","37|42|04","124|43|23","예부선","199",,,,
"2011-11-17 08:42","울산","영해-EEZ","기관고장","정비불량","황천5급","1","4","0","0","0","울기동방 18마일","35|30|00","129|50|00","어선","12",,,,
"2011-11-16 18:41","부산","영해","침수","기타","양호","1","1","0","0","0","부산 서도인근 해상","35|01|29","128|57|95","예부선","19",,,,
"2011-11-16 18:15","인천","항계내","침수","관리소홀","양호","1","0","0","0","0","남항 sk에너지 앞 해상","37|27|00","126|36|00","기타","37",,,,
"2011-11-16 17:10","목포","영해","좌초","운항부주의","양호","1","9","0","0","0","전남 해남군 화원면 시하도 남방","34|41|84","126|14|57","어선","67",,,,
"2011-11-16 16:00","여수","영해","기관고장","정비불량","양호","1","2","0","0","0","여수시 돌산읍 신기앞 0.5마일 해상","34|36|61","127|43|62","어선","1",,,,
"2011-11-16 14:23","부산","영해","기관고장","정비불량","양호","1","2","0","0","0","동백섬 앞 해상","35|09|00","129|09|00","모터보트","1.5",,,,
"2011-11-16 11:17","인천","협수로","기관고장","정비불량","양호","1","2","0","0","0","자월도 서방 묵통도 등대 인근해상","37|16|00","126|16|00","기타","2.66",,,,
"2011-11-16 10:18","통영","항계내","기관고장","운항부주의","양호","1","1","0","0","0","사천시 삼천포 사천대교 인근 가두리양식장","00|0|0","0|0|0","기타","1",,,,
"2011-11-16 02:00","인천","영해-EEZ","추진기장애","운항부주의","양호","1","3","0","0","0","소청도 남동방 28마일","37|24|00","125|06|00","예부선","60",,,,
